dataset,impl,op,bytes,calls,ns_per_call,pass_drift,ins_spread,multiplexed,instructions,cycles,branches,branch-misses,cache-references,cache-misses,stalled-cycles-fe,L1d-read,L1d-read-miss,L1d-prefetch,L1i-read-miss,dTLB-read,dTLB-read-miss,iTLB-read-miss,BPU-read,BPU-read-miss,task-clock-ns,page-faults,page-faults-maj,context-switches,cpu-migrations
apache_builds.json,boost,parse,127275,71,927808.1,0.012585,0.000570,0,4088395,1464296,865172,2452,27398,2286,288815,1427371,21671,14661,193,2679,644,8.085,881289,5844,845255,0.000,0.000,0.000,0.000
apache_builds.json,boost,serialize,127275,556,197037.6,0.000000,0.000000,0,976798,338359,231832,2210,8759,384,48387,316787,5698,5095,32.426,263,138,0.826,231832,2196,193726,0.000,0.000,0.000,0.000
apache_builds.json,boost (null),parse,127275,658,179266.5,0.000001,0.000000,0,997951,308017,190304,425,2450,42.495,4415,248004,2011,1990,1.868,7.071,1.701,0.661,190304,427,176365,0.000,0.000,0.000,0.000
apache_builds.json,boost (pool),parse,127275,272,394031.2,0.000263,0.000096,0,2136715,683658,417042,922,13952,695,100761,707630,7544,6228,59.860,185,14.210,3.640,417148,891,391429,0.000,0.000,0.000,0.000
canada.json,boost,parse,2251051,3,12837489.0,0.003236,0.001028,0,71146229,21706312,14063346,17538,495282,33726,2095709,23523314,265224,205812,1724,11294,4141,88.667,14147373,24312,12565201,0.000,0.000,0.000,0.000
canada.json,boost,serialize,2251051,8,10506071.6,0.000001,0.000000,0,47932394,18225508,7351670,42715,182363,14339,826594,13294160,84986,79328,659,1631,1137,41.750,7351656,41857,10426570,0.000,0.000,0.000,0.000
canada.json,boost (null),parse,2251051,16,4955118.4,0.000000,0.000000,0,32309126,8577850,5831895,11726,71967,2068,141708,8559987,35470,35198,79.500,580,467,12.062,5831889,11481,4916294,0.000,0.000,0.000,0.000
canada.json,boost (pool),parse,2251051,10,7900245.4,0.000033,0.000017,0,46067390,13478283,8251773,12427,287137,15433,232668,14678969,150480,108786,672,2165,1615,56.800,8252057,12196,7735610,0.000,0.000,0.000,0.000
citm_catalog.json,boost,parse,1727204,16,7149010.2,0.005065,0.000180,0,34543220,12056650,7178845,22135,237860,40325,2411597,11794815,139466,111424,1607,11945,3449,76.500,7229663,30686,6911284,0.000,0.000,0.000,0.000
citm_catalog.json,boost,serialize,1727204,66,1590487.7,0.000001,0.000096,0,8162121,2751462,1823120,4292,81770,18252,199228,2828608,45067,37845,324,1526,474,7.606,1823112,4244,1575129,0.000,0.000,0.000,0.000
