dataset,impl,op,bytes,calls,ns_per_call,pass_drift,ins_spread,cyc_spread,multiplexed,instructions,cycles,branches,branch-misses,cache-references,cache-misses,stalled-cycles-fe,L1d-read,L1d-read-miss,L1d-prefetch,L1i-read-miss,dTLB-read,dTLB-read-miss,iTLB-read-miss,BPU-read,BPU-read-miss,task-clock-ns,page-faults,page-faults-maj,context-switches,cpu-migrations
apache_builds.json,boost,parse,127275,328,354301.0,0.012222,0.000467,0.012350,0,4088038,1468345,865240,1886,25239,1235,305975,1429913,22229,14701,187,2881,616,4.790,881217,5948,352313,0.000,0.000,0.000,0.000
apache_builds.json,boost,serialize,127275,1306,82453.7,0.000000,0.000000,0.010447,0,976797,341070,231832,2161,7825,188,45179,316649,5784,5111,8.574,221,130,0.339,231832,2169,81395,0.000,0.000,0.000,0.000
apache_builds.json,boost (null),parse,127275,1480,73998.0,0.000000,0.000000,0.001688,0,997951,306999,190303,416,2114,6.393,4776,247997,2009,1986,1.226,4.247,0.805,0.296,190303,416,73628,0.000,0.000,0.000,0.000
apache_builds.json,boost (pool),parse,127275,612,165619.9,0.000407,0.000043,0.462017,0,2136855,678026,417079,892,12716,399,139367,712165,7543,6013,52.253,175,8.977,1.833,417204,892,163219,0.000,0.000,0.000,0.000
canada.json,boost,parse,2251051,11,5415219.5,0.003758,0.000309,0.014765,0,71146358,22147990,14088007,17483,495623,30123,1726451,23551233,264945,203333,1846,10927,2301,45.182,14156722,24444,5343675,0.000,0.000,0.000,0.000
canada.json,boost,serialize,2251051,26,4508567.3,0.000000,0.000000,0.005581,0,47932374,18530376,7351646,41857,179467,8720,826593,13304457,87402,78977,699,1744,974,20.346,7351645,41806,4420816,0.000,0.000,0.000,0.000
canada.json,boost (null),parse,2251051,54,2087535.5,0.000000,0.000000,0.186113,0,32309116,8532522,5831884,11467,70745,968,151215,8565648,35456,35214,140,49.407,21.963,5.722,5831884,11472,2046999,0.000,0.000,0.000,0.000
canada.json,boost (pool),parse,2251051,28,3375919.8,0.000040,0.000005,0.015823,0,46067468,13870758,8251777,12057,290576,11908,251971,14694508,150942,110233,703,1797,821,29.250,8252163,12049,3331306,0.000,0.000,0.000,0.000
citm_catalog.json,boost,parse,1727204,20,3230924.7,0.005052,0.000246,0.033480,0,34548502,13042186,7180515,22336,234296,39837,1881932,11776196,140539,111299,1584,12531,2689,32.600,7230661,31209,3119668,0.000,0.000,0.000,0.000
citm_catalog.json,boost,serialize,1727204,112,673492.5,0.000000,0.000096,0.070680,0,8162119,2782540,1823110,4255,81887,17740,192261,2834250,45607,37859,271,990,131,2.554,1823110,4254,666166,0.000,0.000,0.000,0.000
citm_catalog.json,boost (null),parse,1727204,182,652906.5,0.000000,0.000000,0.002781,0,10126218,2671781,1885878,4442,54466,894,83831,2405620,27215,27017,147,437,61.258,2.489,1885878,4439,644404,0.000,0.000,0.000,0.000
citm_catalog.json,boost (pool),parse,1727204,62,1451706.9,0.000075,0.000081,0.012871,0,18585759,5910703,3530089,8432,116703,4000,681026,6038207,58172,55736,619,1001,269,13.581,3529785,8412,1420444,0.000,0.000,0.000,0.000
github_events.json,boost,parse,65132,722,167179.4,0.014465,0.000922,0.104538,0,1513886,691648,327135,5592,14359,892,159713,552448,11918,7850,96.722,2514,507,1.745,322433,6034,165101,0.000,0.000,0.000,0.000
github_events.json,boost,serialize,65132,2136,42398.0,0.000000,0.001644,0.011771,0,478058,176177,118292,1095,3483,14.630,28942,147239,3335,2553,1.356,115,21.408,0.179,118292,1113,41920,0.000,0.000,0.000,0.000
github_events.json,boost (null),parse,65132,3152,30133.5,0.000000,0.000000,0.004774,0,375534,123910,73549,617,1042,2.499,10860,101727,1008,994,0.872,1.037,0.233,0.131,73549,629,29759,0.000,0.000,0.000,0.000
github_events.json,boost (pool),parse,65132,904,70463.4,0.000601,0.000109,0.009784,0,824442,292839,162530,1133,3746,23.014,59227,278616,3209,2838,46.249,65.668,1.816,0.539,162417,1135,70073,0.000,0.000,0.000,0.000
gsoc-2018.json,boost,parse,3327831,28,4226227.3,0.001638,0.000358,0.032619,0,32435340,17328431,6709418,76974,401193,93444,2869875,11297782,230915,154012,2459,24339,5386,41.000,6725984,84682,4132789,0.000,0.000,0.000,0.000
gsoc-2018.json,boost,serialize,3327831,44,2624900.3,0.000000,0.000000,0.018211,0,28168502,10899727,7992780,30098,165764,32207,728731,7100332,82536,71061,540,1937,657,9.000,7992780,30182,2589498,0.000,0.000,0.000,0.000
gsoc-2018.json,boost (null),parse,3327831,158,731118.8,0.000000,0.000000,0.006359,0,9869052,2991506,1772056,17562,104630,1464,239961,2456036,52418,52083,189,837,126,2.582,1772056,17585,721595,0.000,0.000,0.000,0.000
gsoc-2018.json,boost (pool),parse,3327831,46,1765579.0,0.000031,0.000001,0.012046,0,19049311,7249676,3612851,28630,249229,13565,1335463,6284515,126411,96873,1229,3115,898,16.783,3612896,28667,1738188,0.000,0.000,0.000,0.000
instruments.json,boost,parse,220346,182,666380.4,0.001034,0.000142,0.020287,0,6929026,2775094,1468975,14098,56375,15278,515513,2459852,34571,24280,337,4330,799,7.275,1470009,14645,662023,0.000,0.000,0.000,0.000
instruments.json,boost,serialize,220346,760,141711.7,0.000000,0.000459,0.019358,0,1712403,590841,420892,1815,17006,1217,87251,585465,9603,8171,25.055,220,12.063,0.632,420892,1822,140931,0.000,0.000,0.000,0.000
instruments.json,boost (null),parse,220346,726,160989.6,0.000000,0.000000,0.003414,0,1962126,671641,395637,2169,3985,22.182,38807,525399,3537,3444,3.780,43.025,2.463,0.635,395637,2169,160308,0.000,0.000,0.000,0.000
instruments.json,boost (pool),parse,220346,232,324390.1,0.000338,0.000131,0.021196,0,3857729,1343509,760449,4411,20146,847,219762,1314472,10707,9509,135,252,46.039,3.953,760755,4365,321329,0.000,0.000,0.000,0.000
marine_ik.json,boost,parse,2983466,10,10304165.0,0.001066,0.000127,0.009108,0,104875317,41870680,22694320,88786,1122023,115408,5092700,35582113,596148,374753,3230,15880,6252,93.300,22735970,94371,10049003,0.000,0.000,0.000,0.000
marine_ik.json,boost,serialize,2983466,18,6186811.9,0.000012,0.000000,0.006452,0,64001081,25419377,11666670,82554,330371,28126,2190085,18810492,169820,144727,1240,3300,2864,33.056,11666670,82603,6062822,0.000,0.000,0.000,0.000
marine_ik.json,boost (null),parse,2983466,40,2832651.3,0.000000,0.000000,0.006182,0,44867195,11562490,9567083,42869,94870,1755,926032,11995406,47186,46716,222,569,303,10.475,9567084,42846,2783005,0.000,0.000,0.000,0.000
marine_ik.json,boost (pool),parse,2983466,12,7535773.4,0.000014,0.000021,0.008822,0,69885906,22295436,14288683,68538,672172,56467,2322270,23533607,345235,162341,2633,7093,5301,112,14288805,68411,7403484,987,0.000,0.000,0.000
mesh.json,boost,parse,723597,72,1686496.7,0.001146,0.000029,0.012362,0,20585535,6752401,4186094,9383,338653,26697,518371,6075313,179269,84677,399,3336,887,17.583,4191602,9265,1627518,0.000,0.000,0.000,0.000
mesh.json,boost,serialize,723597,74,1499064.6,0.000000,0.000000,0.010329,0,18241249,6175217,3263763,14189,63330,1545,365799,4858074,31441,30676,168,335,83.095,5.284,3263763,14186,1480947,0.000,0.000,0.000,0.000
mesh.json,boost (null),parse,723597,140,848129.0,0.000000,0.000000,0.003646,0,13814229,3464901,2722582,7397,22813,475,119248,3240051,11445,11316,47.550,186,34.314,2.657,2722582,7425,835006,0.000,0.000,0.000,0.000
mesh.json,boost (pool),parse,723597,78,1384274.0,0.000033,0.000087,0.015066,0,17585526,5640601,3333855,7958,266809,16630,222795,5254851,142663,55408,266,1494,306,11.949,3333745,7955,1351538,0.000,0.000,0.000,0.000
mesh.pretty.json,boost,parse,1577353,70,1855849.0,0.001184,0.000025,0.017653,0,21854472,7541729,4415080,15320,367945,27644,573933,6365830,192946,101577,482,3795,895,17.057,4421095,15252,1810144,0.000,0.000,0.000,0.000
mesh.pretty.json,boost,serialize,1577353,40,1492869.6,0.000000,0.000000,0.007352,0,18243600,6225750,3264368,14190,63199,1398,424305,4858556,31301,30621,170,288,77.600,5.850,3264368,14189,1482188,0.000,0.000,0.000,0.000
mesh.pretty.json,boost (null),parse,1577353,118,1011943.3,0.000000,0.000000,0.056466,0,14991510,4149483,2915572,14352,49921,871,183190,3458581,24847,24650,218,398,87.568,3.415,2915572,14330,997621,0.000,0.000,0.000,0.000
mesh.pretty.json,boost (pool),parse,1577353,60,1504207.3,0.000034,0.000002,0.012670,0,18857059,6085848,3563381,14007,296569,18807,244252,5528056,156558,67819,301,2278,491,14.267,3563282,14008,1461930,0.000,0.000,0.000,0.000
numbers.json,boost,parse,150124,446,181407.9,0.000149,0.000000,0.021565,0,2616426,754096,494421,1909,54421,3098,37710,690947,29944,11578,45.280,162,9.365,1.520,494317,1905,180066,0.000,0.000,0.000,0.000
numbers.json,boost,serialize,150124,330,355518.0,0.000000,0.000000,0.009223,0,4081359,1473246,637614,5552,6061,85.491,58541,1015733,3799,3753,14.309,72.461,7.579,1.452,637614,5552,351256,0.000,0.000,0.000,0.000
numbers.json,boost (null),parse,150124,970,116756.7,0.000000,0.000000,0.015510,0,1911559,482607,348150,1871,2543,8.496,17340,406129,2359,2345,1.244,0.611,0.324,0.282,348150,1869,115464,0.000,0.000,0.000,0.000
